real, imag
0.791099, 0.494273
-1.69692, 2.94346
0.290029, 0.475888
0.644255, 0.50251
-0.111171, 0.134416
1.23784, -0.388336
0.0977345, -0.18479
0.329871, -0.513975
0.235257, 0.180014
2.78534, 1.20803
0.0126832, -2.63983
2.91162, 3.03242
0.352941, -0.450521
2.00166, -8.01534
1.75626, 0.286609
3.15765, -2.03996
0.328275, -0.838715
3.77442, -0.0292312
-0.0417742, 1.23488
0.686216, 0.390929
1.31024, -0.124539
0.13493, -0.259483
0.737646, 0.246564
0.62526, 0.488452
0.613323, -0.0200865
0.416405, -0.597243
0.288045, 0.830165
-0.299839, -0.292231
-0.20504, -0.167159
1.38958, -0.804153
1.47714, -2.96613
0.519465, -1.15406
1.86615, 0.0266684
2.49044, 2.9639
0.403551, -0.241676
3.16867, -3.11613
0.803998, -0.288562
6.31457, 9.29138
10.3563, 6.80377
-2.98917, -5.36194
-0.142359, 0.00698558
1.72227, 0.337633
0.927591, -0.556123
0.0561791, -0.0279142
3.93534, -6.39823
2.31385, -0.898195
0.39132, -1.36265
4.16033, 6.36172
0.000921948, -0.0846863
2.56661, 0.859769
5.94005, 2.71042
0.0795318, -0.307396
-0.949585, -0.947887
2.30915, 3.15618
-1.89938, -3.64655
1.79128, -1.37171
0.670856, 0.738261
9.25228, 4.75323
-1.05534, -5.24786
0.249705, 0.379828
4.31031, -1.0894
0.361136, -0.000581844
0.423558, -0.0605619
1.46409, -1.44622
0.948268, 0.667945
-2.28324, 0.574208
0.315086, -0.393669
0.496368, 1.74748
1.6888, -2.29849
1.21652, 0.365865
3.40743, 5.26009
2.92911, -2.23105
0.29232, -0.262159
0.0135579, 0.366473
0.0212153, -0.0199583
1.53612, 0.0674817
0.683248, 0.0884704
0.854336, -0.370945
0.878641, -0.423946
0.634381, 0.13126
-1.23415, 5.12783
-2.89009, -3.47363
-0.135067, -0.306505
3.25203, -1.95923
1.27451, 0.416719
0.901418, 0.293207
-0.138497, -0.110916
1.75602, -0.679317
3.5595, 2.45677
0.0418417, -0.0456445
0.374778, -0.450262
-1.0197, 1.01846
5.43677, -1.68168
2.66163, -0.383216
0.723709, 0.214833
0.754874, 0.123385
0.319369, 0.0137029
2.16129, 1.57518
1.79, 5.57053
0.93537, 0.209304
-1.45053, 1.25903
4.81613, 1.30463
0.0747665, -0.576989
1.03955, 0.139237
0.29651, -0.00372457
-0.0269482, 0.0417854
1.36447, -1.09402
1.05517, 1.1367
-0.0598395, 0.500799
9.9944, 7.75421
1.72465, 0.424102
-0.165213, -2.57746
-0.0485365, -3.51131
-0.649828, 1.41763
0.525562, -0.795544
1.97042, -1.8484
0.794525, 1.14874
0.289443, -0.0389849
4.66952, -5.96718
-0.016098, 0.149049
-0.16545, -0.32636
1.36433, 0.941418
1.39291, -0.706368
0.301008, -0.268103
0.0575969, -0.0267005
-2.11973, -1.93799
0.438299, -0.87467
0.481863, 0.963608
1.60881, -0.774644
0.249836, -1.23338
1.17074, -2.56104
-0.238721, 0.641771
-2.53786, -6.80465
0.195971, -0.114775
0.65825, -3.5824
-0.0331723, -0.10643
1.77086, -0.169453
0.158354, 0.377164
0.524173, 0.383463
0.237332, 1.94528
0.835139, 0.588464
0.754637, -0.360685
2.27129, 0.53561
2.45057, 1.76237
0.108135, -0.28569
-0.0323808, 0.0960546
0.172406, 0.99146
1.03178, -0.00199044
0.710912, 3.03408
1.71996, 3.0901
-0.281687, -0.264914
0.182772, -0.199434
-0.508929, 1.5583
-1.09926, -1.67548
0.630493, -0.283573
4.73574, 8.70057
1.32155, 0.802324
0.105737, -0.415596
0.0923754, -0.385906
0.849435, -1.92111
0.436372, -0.132672
2.45685, 0.680934
0.25648, -0.0262351
-0.257009, -2.06703
0.286163, -0.80311
1.13703, 0.0338667
0.860914, -0.378905
1.41973, -0.639271
6.8508, 5.23704
-0.306254, 0.175162
0.17176, -0.0835436
-0.0866269, 1.93462
-0.322888, 1.86612
0.0357221, 0.0248241
2.79192, 2.32656
0.303791, -0.208591
0.466429, -0.620403
3.63507, -1.39656
0.172492, -0.667486
0.00949217, 0.0303451
-0.271983, 0.383165
-0.112099, -4.2996
4.36993, 0.420253
1.56421, -2.39588
-0.337052, 0.739521
-0.127913, 0.0370994
7.18817, 5.64983
